date,abs,rate
2000-01-01,537853,22.9
2001-01-01,505479,21.0
2002-01-01,494538,20.2
2003-01-01,481399,19.2
2004-01-01,481800,18.9
2005-01-01,474473,18.2
2006-01-01,472698,17.8
2007-01-01,479647,17.7
2008-01-01,493203,17.9
2009-01-01,501644,17.9
2010-01-01,491239,17.2
2011-01-01,511594,17.6
2012-01-01,526012,17.8
2013-01-01,503914,16.7
2014-01-01,528612,17.2
2015-01-01,521136,16.7
2016-01-01,508203,16.1
2017-01-01,508685,15.9
2018-01-01,501945,15.5
2019-01-01,489863,15.1
2020-01-01,471504,14.5
2021-01-01,439744,13.5
2022-01-01,423124,12.9
